	gene name	mean alignment score
0	OG0001210.mapped.nt_ali.fasta.masked.mstatx	0.6674795485458619
1	OG0002741.mapped.nt_ali.fasta.masked.mstatx	0.5141265733287165
2	OG0003025.mapped.nt_ali.fasta.masked.mstatx	0.3956453901547101
3	OG0003665.mapped.nt_ali.fasta.masked.mstatx	0.5249553445528466
4	OG0003884.mapped.nt_ali.fasta.masked.mstatx	0.5435429811676066
5	OG0003942.mapped.nt_ali.fasta.masked.mstatx	0.4455869461111084
6	OG0004065.mapped.nt_ali.fasta.masked.mstatx	0.643137624661245
7	OG0004091.mapped.nt_ali.fasta.masked.mstatx	0.41485501242737294
8	OG0004202.mapped.nt_ali.fasta.masked.mstatx	0.4066818306692648
9	OG0004296.mapped.nt_ali.fasta.masked.mstatx	0.5259971350945635
10	OG0004493.mapped.nt_ali.fasta.masked.mstatx	0.3053876412653378
11	OG0004641.mapped.nt_ali.fasta.masked.mstatx	0.5352104336538477
12	OG0004731.mapped.nt_ali.fasta.masked.mstatx	0.5488111785219411
13	OG0004893.mapped.nt_ali.fasta.masked.mstatx	0.46979470267413115
14	OG0004926.mapped.nt_ali.fasta.masked.mstatx	0.7255168958333361
15	OG0004957.mapped.nt_ali.fasta.masked.mstatx	0.44898563262195146
16	OG0004980.mapped.nt_ali.fasta.masked.mstatx	0.5813140855012221
17	OG0005022.mapped.nt_ali.fasta.masked.mstatx	0.6783702560431115
18	OG0005040.mapped.nt_ali.fasta.masked.mstatx	0.5345436890292007
19	OG0005046.mapped.nt_ali.fasta.masked.mstatx	0.5383597993399337
20	OG0005177.mapped.nt_ali.fasta.masked.mstatx	0.4101223612612594
21	OG0005214.mapped.nt_ali.fasta.masked.mstatx	0.23450218054859906
22	OG0005225.mapped.nt_ali.fasta.masked.mstatx	0.48454738997668906
23	OG0005269.mapped.nt_ali.fasta.masked.mstatx	0.5260022512380953
24	OG0005276.mapped.nt_ali.fasta.masked.mstatx	0.4927622874011271
25	OG0005341.mapped.nt_ali.fasta.masked.mstatx	0.5902891370529335
26	OG0005406.mapped.nt_ali.fasta.masked.mstatx	0.32359745798534834
27	OG0005436.mapped.nt_ali.fasta.masked.mstatx	0.3350620561409984
28	OG0005445.mapped.nt_ali.fasta.masked.mstatx	0.5808388304741959
29	OG0005472.mapped.nt_ali.fasta.masked.mstatx	0.36100123293460795
30	OG0005473.mapped.nt_ali.fasta.masked.mstatx	0.3918873401689708
31	OG0005475.mapped.nt_ali.fasta.masked.mstatx	0.5957048519375413
32	OG0005486.mapped.nt_ali.fasta.masked.mstatx	0.2936343819135285
33	OG0005492.mapped.nt_ali.fasta.masked.mstatx	0.31394953207042126
34	OG0005508.mapped.nt_ali.fasta.masked.mstatx	0.30573704900459814
35	OG0005509.mapped.nt_ali.fasta.masked.mstatx	0.678615778723405
36	OG0005517.mapped.nt_ali.fasta.masked.mstatx	0.4957139609756104
37	OG0005560.mapped.nt_ali.fasta.masked.mstatx	0.4949577698060942
38	OG0005562.mapped.nt_ali.fasta.masked.mstatx	0.3725735513768105
39	OG0005640.mapped.nt_ali.fasta.masked.mstatx	0.3820389086894589
40	OG0005652.mapped.nt_ali.fasta.masked.mstatx	0.40042581634464747
41	OG0005658.mapped.nt_ali.fasta.masked.mstatx	0.26319966613216617
42	OG0005659.mapped.nt_ali.fasta.masked.mstatx	0.504582808713693
43	OG0005665.mapped.nt_ali.fasta.masked.mstatx	0.41117852296747615
44	OG0005683.mapped.nt_ali.fasta.masked.mstatx	0.5258390198198204
45	OG0005691.mapped.nt_ali.fasta.masked.mstatx	0.4235144820426471
46	OG0005699.mapped.nt_ali.fasta.masked.mstatx	0.38554270528634554
47	OG0005728.mapped.nt_ali.fasta.masked.mstatx	0.3257938045346075
48	OG0005761.mapped.nt_ali.fasta.masked.mstatx	0.41496091139734553
49	OG0005779.mapped.nt_ali.fasta.masked.mstatx	0.4635033742702622
50	OG0005783.mapped.nt_ali.fasta.masked.mstatx	0.5508879894047621
51	OG0005810.mapped.nt_ali.fasta.masked.mstatx	0.5829138279702066
52	OG0005843.mapped.nt_ali.fasta.masked.mstatx	0.5667182576959784
53	OG0005848.mapped.nt_ali.fasta.masked.mstatx	0.5198034957142816
54	OG0005861.mapped.nt_ali.fasta.masked.mstatx	0.4455225845921453
55	OG0005865.mapped.nt_ali.fasta.masked.mstatx	0.47724792393617055
56	OG0005870.mapped.nt_ali.fasta.masked.mstatx	0.5718055156695994
57	OG0005885.mapped.nt_ali.fasta.masked.mstatx	0.6125520222972997
58	OG0005902.mapped.nt_ali.fasta.masked.mstatx	0.6276571818295746
59	OG0005953.mapped.nt_ali.fasta.masked.mstatx	0.5661804327312784
60	OG0005970.mapped.nt_ali.fasta.masked.mstatx	0.48438311606160406
61	OG0005980.mapped.nt_ali.fasta.masked.mstatx	0.6877828544298793
62	OG0005982.mapped.nt_ali.fasta.masked.mstatx	0.4138284824712633
63	OG0006002.mapped.nt_ali.fasta.masked.mstatx	0.32091385426150154
64	OG0006008.mapped.nt_ali.fasta.masked.mstatx	0.4825695129464292
65	OG0006014.mapped.nt_ali.fasta.masked.mstatx	0.4802775382413144
66	OG0006027.mapped.nt_ali.fasta.masked.mstatx	0.5533913502409682
67	OG0006030.mapped.nt_ali.fasta.masked.mstatx	0.56264466828479
68	OG0006046.mapped.nt_ali.fasta.masked.mstatx	0.40093815976873504
69	OG0006071.mapped.nt_ali.fasta.masked.mstatx	0.385906397636507
70	OG0006078.mapped.nt_ali.fasta.masked.mstatx	0.5552969251130578
71	OG0006134.mapped.nt_ali.fasta.masked.mstatx	0.5453043978328195
72	OG0006140.mapped.nt_ali.fasta.masked.mstatx	0.6587603265522829
73	OG0006141.mapped.nt_ali.fasta.masked.mstatx	0.7053529213768116
74	OG0006142.mapped.nt_ali.fasta.masked.mstatx	0.3656370736437242
75	OG0006150.mapped.nt_ali.fasta.masked.mstatx	0.7099539394663447
76	OG0006151.mapped.nt_ali.fasta.masked.mstatx	0.5077866829743586
77	OG0006155.mapped.nt_ali.fasta.masked.mstatx	0.40551525255179033
78	OG0006167.mapped.nt_ali.fasta.masked.mstatx	0.597122048581561
79	OG0006170.mapped.nt_ali.fasta.masked.mstatx	0.45417769053475915
80	OG0006195.mapped.nt_ali.fasta.masked.mstatx	0.6660140126413849
81	OG0006201.mapped.nt_ali.fasta.masked.mstatx	0.4114166710967059
82	OG0006243.mapped.nt_ali.fasta.masked.mstatx	0.4624347854639186
83	OG0006247.mapped.nt_ali.fasta.masked.mstatx	0.48331732371905933
84	OG0006251.mapped.nt_ali.fasta.masked.mstatx	0.6626746003220615
85	OG0006252.mapped.nt_ali.fasta.masked.mstatx	0.42011881082828345
86	OG0006254.mapped.nt_ali.fasta.masked.mstatx	0.5875710945684357
87	OG0006260.mapped.nt_ali.fasta.masked.mstatx	0.593159033626375
88	OG0006264.mapped.nt_ali.fasta.masked.mstatx	0.4965947643894397
89	OG0006284.mapped.nt_ali.fasta.masked.mstatx	0.5505539165530304
90	OG0006294.mapped.nt_ali.fasta.masked.mstatx	0.5767911591056905
91	OG0006295.mapped.nt_ali.fasta.masked.mstatx	0.39070914700460935
92	OG0006297.mapped.nt_ali.fasta.masked.mstatx	0.2800530185224499
93	OG0006309.mapped.nt_ali.fasta.masked.mstatx	0.3096769877644367
94	OG0006330.mapped.nt_ali.fasta.masked.mstatx	0.5385266185964913
95	OG0006371.mapped.nt_ali.fasta.masked.mstatx	0.6299683335466656
96	OG0006377.mapped.nt_ali.fasta.masked.mstatx	0.4662869246666662
97	OG0006381.mapped.nt_ali.fasta.masked.mstatx	0.5145465280911283
98	OG0006386.mapped.nt_ali.fasta.masked.mstatx	0.5121571996376808
99	OG0006388.mapped.nt_ali.fasta.masked.mstatx	0.5483575045149264
100	OG0006392.mapped.nt_ali.fasta.masked.mstatx	0.4991658820512837
101	OG0006410.mapped.nt_ali.fasta.masked.mstatx	0.360913212212542
102	OG0006412.mapped.nt_ali.fasta.masked.mstatx	0.47598772510078785
103	OG0006415.mapped.nt_ali.fasta.masked.mstatx	0.6882715111111107
104	OG0006423.mapped.nt_ali.fasta.masked.mstatx	0.30830990487646953
105	OG0006430.mapped.nt_ali.fasta.masked.mstatx	0.6158695404166591
106	OG0006436.mapped.nt_ali.fasta.masked.mstatx	0.5395192065826329
